"Title","design domain","integration pattern (ip)","key contribution & evidence","method label","neural function (nf)","research problem","symbolic substrate (ss)"
"Three Pathways to Neurosymbolic Reinforcement Learning with Interpretable Model and Policy Networks - Contribution","Control ","Type III","Compares three NeuroSymbolic approaches: symbolic world models, logic-based policies, and hybrid architectures. 
Demonstrates interpretability-performance tradeoffs across pathways.","3 Pathways NS-RL","Optimization / Differentiable reasoning (O)","Neuro-symbolic methods for product design","Logic (L)"
"Detect, Understand, Act: A Neuro-symbolic Hierarchical Reinforcement Learning Framework - Contribution","Control","Type III (III)","Hierarchical decomposition with symbolic task planner and neural skill executors. Symbolic layer handles abstract planning; neural modules execute continuous control.","DUA","Optimization (O)","Neuro-symbolic methods for product design","Rules (R)"
"Neurosymbolic Reinforcement Learning with Formally Verified Exploration - Contribution","Control","Type III (III)","Integrates formal verification with deep RL for provably safe exploration. Verifier checks proposed actions against safety specifications before execution.","REVEL","Optimization / Control (O)","Neuro-symbolic methods for product design","Logic (L)"
"Constrained Decision Transformer for Offline Safe Reinforcement Learning - Contribution","Control","Type III (III)","Extends decision transformers with constraint satisfaction for offline safe RL. Symbolic constraints guide sequence modeling to produce safe policies from offline data.","CDT","Optimization (O)","Neuro-symbolic methods for product design","Constraints (C)"
"The Neuro-Symbolic Concept Learner: Interpreting Scenes, Words, and Sentences From Natural Supervision - Contribution","Perception","Type III (III)","Jointly learns visual concepts and semantic parsing from natural supervision. Symbolic program executor reasons over learned concepts for compositional generalization.","NS-CL","Perception (P)","Neuro-symbolic methods for product design","Logic (L)"
"Integrating symbolic reasoning into neural generative models for design generation - Contribution","Design","Type IV (IV)","Compiles symbolic design rules into neural generator via constraint-aware training. Generated designs satisfy encoded rules without post-hoc filtering.","SPRING","Generation (G)","Neuro-symbolic methods for product design","Rules (R)"
"McGAN: Generating manufacturable designs by embedding manufacturing rules into conditional generative adversarial network - Contribution","Manufacturing","Type IV (IV)","Embeds manufacturing constraints directly into GAN discriminator. Generator learns to produce designs that satisfy manufacturability rules by construction.","McGAN","Generation (G)","Neuro-symbolic methods for product design","Rules (R)"
"A complete Physics-Informed Neural Network-based framework for structural topology optimization - Contribution","Topology","Type V (V)","Complete ML-based topology optimization using dual PINNs for analysis and sensitivity. Physics equations encoded as loss terms; achieves FEA-comparable results without labeled data.","CPINNTO","Optimization (O)","Neuro-symbolic methods for product design","Constraints (C)"
"DL2: Training and Querying Neural Networks with Logic - Contribution","General","Type V (V)","Framework for expressing first-order logic constraints over network outputs as differentiable loss. Enables constraint-aware training and logical querying of trained models.","DL2","Generation (G)","Neuro-symbolic methods for product design","Logic (L)"
"A Semantic Loss Function for Deep Learning with Symbolic Knowledge - Contribution","General","Type V (V)","Derives differentiable loss from propositional logic constraints via weighted model counting. Enables gradient-based optimization subject to logical specifications.","Semantic Loss","Generation (G)","Neuro-symbolic methods for product design","Logic (L)"
"NeurCADRecon: Neural Representation for Reconstructing CAD Surfaces by Enforcing Zero Gaussian Curvature - Contribution","CAD","Type V (V)","Reconstructs CAD surfaces by enforcing zero Gaussian curvature as geometric constraint in neural SDF. Produces cleaner analytical surfaces suitable for downstream CAD operations.","NeurCADRecon","Generation (G)","Neuro-symbolic methods for product design","Constraints (C)"
"Geometry-Informed Neural Networks - Contribution","Topology","Type V (V)","Incorporates geometric constraints (e.g., curvature bounds, thickness) as differentiable losses for shape optimization. Improves manufacturability of generated geometries.","GINN","Generation (G)","Neuro-symbolic methods for product design","Constraints (C)"
"Scientific Machine Learning Through Physics–Informed Neural Networks: Where we are and What’s Next - Contribution","Topology optimization / Physics-based design","Type V (V)","Complete ML-based topology optimization using dual PINNs for analysis and sensitivity. Physics equations encoded as loss terms; achieves FEA-comparable results without labeled data.","PINNs","Optimization (O); Surrogate modeling (S)","Neuro-symbolic methods for product design","Constraints / Physics (C)"
"SATNet: Bridging deep learning and logical reasoning using a differentiable satisfiability solver - Contribution","General","Type VI (VI)","Differentiable MaxSAT solver as neural layer enabling backpropagation through logical constraints. Learns to solve combinatorial problems end-to-end with gradient descent.","SATNet","Optimization (O)","Neuro-symbolic methods for product design","Logic (L)"
"OptNet: Differentiable Optimization as a Layer in Neural Networks - Contribution","General","Type VI (VI)","Implements quadratic programs as differentiable neural network layers. Enables end-to-end learning through constrained optimization with exact gradients via implicit differentiation.","OptNet","Optimization (O)","Neuro-symbolic methods for product design","Constraints (C)"
"Differentiable Convex Optimization Layers - Contribution","General","Type VI (VI)","General framework for differentiating through disciplined convex programs. Enables embedding arbitrary convex constraints as layers in deep learning pipelines.","CVXpyLayers","Optimization (O)","Neuro-symbolic methods for product design","Constraints (C)"
"NURBS-Diff: A Differentiable Programming Module for NURBS - Contribution","CAD","Type VI (VI)","Differentiable NURBS evaluation enabling gradient-based optimization of CAD geometry. Bridges neural networks with industry-standard B-rep representations.","NURBS-Diff","Generation (G)","Neuro-symbolic methods for product design","Constraints (C)"
"Neural probabilistic logic programming in DeepProbLog - Contribution","General","Type VI (VI)","Integrates neural predicates into probabilistic logic programs with end-to-end differentiability. Combines logical reasoning with neural perception in unified probabilistic framework.","DeepProbLog","Surrogate (S)","Neuro-symbolic methods for product design","Logic (L)"
"The third AI summer: AAAI Robert S. Engelmore Memorial Lecture - Contribution","Survey","Survey","Introduces six-type taxonomy for neurosymbolic integration (Types I-VI). Foundational classification used throughout this survey for organizing NS methods.","Kautz Taxonomy","N/A","Neuro-symbolic methods for product design","N/A"
"Neurosymbolic AI: the 3rd wave - Contribution","Survey","Survey","Comprehensive overview of NS-AI motivations, architectures, and applications. Argues NS integration addresses limitations of pure neural and pure symbolic approaches.","NS 3rd Wave","N/A","Neuro-symbolic methods for product design","N/A"
"Neural-Symbolic Learning and Reasoning: A Survey and Interpretation - Contribution","Survey","Survey","Systematic survey of NS learning and reasoning techniques. Covers knowledge extraction, injection, and hybrid architectures with historical perspective.","NS Survey IOS","N/A","Neuro-symbolic methods for product design","N/A"
"A survey on neural-symbolic learning systems - Contribution","Survey","Survey","Surveys neural-symbolic integration focusing on learning systems. Categorizes approaches by knowledge representation and integration mechanism.","NS Learning Survey","N/A","Neuro-symbolic methods for product design","N/A"
"Neuro-Symbolic AI in 2024: A Systematic Review - Contribution","Survey","Survey","Systematic review of NS-AI literature through 2024. Identifies trends, benchmarks, and open challenges in the field.","NS 2024 Review","N/A","Neuro-symbolic methods for product design","N/A"
"Neuro-symbolic artificial intelligence: a survey - Contribution","Survey","Survey","Broad survey covering NS-AI goals, methods, and applications. Discusses integration strategies and evaluation approaches.","NS AI Survey","N/A","Neuro-symbolic methods for product design","N/A"
"Neurosymbolic Reinforcement Learning and Planning: A Survey - Contribution","Survey","Survey","Focused survey on NS methods for RL and planning. Covers symbolic state abstraction, reward shaping, and policy constraints.","NS-RL Survey","N/A","Neuro-symbolic methods for product design","N/A"
"A Roadmap Toward Neurosymbolic Approaches in AI Design - Contribution","Survey","Survey","Roadmap for applying NS-AI to design automation. Identifies research gaps and opportunities in CAD, manufacturing, and engineering design.","NS Design Roadmap","N/A","Neuro-symbolic methods for product design","N/A"
"A Survey on Verification and Validation, Testing and Evaluations of Neurosymbolic Artificial Intelligence - Contribution","Survey","Survey","Surveys V&V methods for NS-AI systems. Covers testing strategies, formal verification, and evaluation benchmarks.","NS V&V Survey","N/A","Neuro-symbolic methods for product design","N/A"
"A review of neuro-symbolic AI integrating reasoning and learning for advanced cognitive systems - Contribution","Survey","Survey","Reviews NS integration for cognitive systems. Discusses reasoning-learning synergies and cognitive architecture implications.","NS Cognitive Review","N/A","Neuro-symbolic methods for product design","N/A"
"A review of some techniques for inclusion of domain-knowledge into deep neural networks - Contribution","Survey","Survey","Reviews techniques for injecting domain knowledge into DNNs. Covers architecture design, loss modification, and data augmentation strategies.","DK-DNN Review","N/A","Neuro-symbolic methods for product design","N/A"
"Neural-Symbolic Learning Systems - Contribution","Survey","Survey","Foundational book on neural-symbolic integration. Covers theoretical foundations and early integration approaches.","NS Book 2002","N/A","Neuro-symbolic methods for product design","N/A"
"Fast relational learning using bottom clause propositionalization with artificial neural networks - Contribution","Survey","Survey","Proposes method for converting relational features to neural-compatible representations. Foundational work on symbolic-to-neural knowledge transfer.","BCP","N/A","Neuro-symbolic methods for product design","N/A"
"Benchmarking Neurosymbolic Description Logic Reasoners: Existing Challenges and a Way Forward - Contribution","Survey","Survey","Benchmarks NS reasoners on description logic tasks. Provides evaluation framework for comparing NS reasoning approaches.","NS-DL Benchmark","N/A","Neuro-symbolic methods for product design","N/A"
